ACC_X,ACC_Y,ACC_Z,Time
-92.926025,964.508057,40.832520,0.000145
-86.791992,964.965820,47.332764,0.000898
-88.623047,974.670410,48.065186,0.001637
-92.926025,971.740723,44.677734,0.002375
-96.221924,972.564697,38.818359,0.003137
-87.799072,973.297119,46.325684,0.003885
-84.503174,973.480225,38.543701,0.004629
-84.503174,972.198486,42.755127,0.005369
-90.270996,968.811035,32.135010,0.006109
-90.179443,969.818115,34.973145,0.006849
-87.890625,964.782715,30.670166,0.007588
-91.461182,967.895508,43.487549,0.008328
-89.447021,967.712402,43.945312,0.009066
-93.109131,973.022461,44.769287,0.009804
-90.179443,970.367432,39.550781,0.010540
-92.651367,967.620850,38.635254,0.011294
-93.200684,969.726562,49.163818,0.012039
-103.363037,975.769043,47.424316,0.012779
-92.102051,977.142334,25.360107,0.013519
-101.074219,976.226807,35.614014,0.014258
-99.884033,970.550537,44.311523,0.014997
-101.440430,978.057861,31.677246,0.015737
-106.109619,979.064941,38.726807,0.016476
-102.539062,977.783203,31.311035,0.017216
-108.123779,975.128174,37.902832,0.017972
-104.278564,972.106934,40.740967,0.018713
-99.334717,980.255127,39.733887,0.019453
-110.412598,972.015381,35.064697,0.020193
-113.525391,971.832275,37.445068,0.020931
-111.053467,977.325439,38.818359,0.021669
-110.870361,981.719971,38.635254,0.022474
-109.771729,983.459473,49.438477,0.023234
-113.433838,977.966309,45.593262,0.023977
-118.560791,980.804443,38.085938,0.024717
-124.877930,979.156494,42.388916,0.025490
-124.603271,980.346680,35.247803,0.026230
-113.067627,976.501465,35.522461,0.026970
-119.110107,973.297119,41.198730,0.027719
-122.314453,970.092773,33.874512,0.028494
-127.166748,973.297119,31.402588,0.029279
-126.342773,984.832764,27.191162,0.030110
-123.138428,973.937988,36.163330,0.030891
-125.427246,970.550537,30.212402,0.031663
-124.328613,976.226807,30.853271,0.032426
-128.173828,977.233887,34.606934,0.033203
-135.131836,971.923828,33.691406,0.033956
-133.209229,976.776123,36.621094,0.034727
-126.159668,981.811523,36.163330,0.035505
-129.089355,1002.410889,29.754639,0.036315
-122.680664,984.558105,26.275635,0.037095
-116.821289,980.529785,40.008545,0.037975
-123.504639,986.297607,43.762207,0.038733
-119.567871,978.149414,34.240723,0.039527
-119.476318,981.719971,33.325195,0.040325
-121.398926,972.930908,27.557373,0.041103
-125.701904,976.776123,40.283203,0.041847
-128.723145,971.649170,35.522461,0.042590
-126.342773,977.874756,43.304443,0.043179
-126.525879,978.424072,39.276123,0.043936
-120.758057,979.705811,41.931152,0.044680
-118.835449,978.973389,45.135498,0.045427
-107.757568,974.945068,40.924072,0.046294
-107.482910,977.508545,38.818359,0.047126
-102.813721,966.339111,45.593262,0.047893
-103.179932,969.726562,41.473389,0.048657
-102.813721,968.536377,37.353516,0.049438
-104.736328,971.008301,43.029785,0.050318
-105.743408,975.128174,35.705566,0.051063
-108.215332,976.501465,48.889160,0.051827
-105.285645,975.219727,49.255371,0.052572
-103.546143,967.071533,43.029785,0.053315
-102.172852,970.275879,51.452637,0.054059
-99.426270,974.029541,48.797607,0.054832
-72.143555,976.043701,58.410645,0.055633
-94.390869,978.424072,48.522949,0.056392
-105.010986,977.508545,43.487549,0.057174
-95.764160,979.248047,42.938232,0.057954
-93.933105,981.811523,44.128418,0.058738
-95.764160,982.086182,50.170898,0.059513
-101.440430,970.275879,45.501709,0.060352
