ACC_X,ACC_Y,ACC_Z,Time
-130.279541,658.355713,733.428955,0.000147
-136.505127,661.926270,735.168457,0.000919
-140.716553,659.271240,728.942871,0.001661
-141.632080,663.116455,728.851318,0.002403
-138.244629,660.369873,729.309082,0.003144
-132.843018,651.855469,731.048584,0.003885
-135.406494,648.101807,725.830078,0.004470
-133.026123,661.651611,724.365234,0.005211
-142.639160,661.285400,722.991943,0.005952
-133.666992,656.707764,727.569580,0.006694
-137.145996,659.362793,733.428955,0.007435
-132.202148,659.820557,728.393555,0.008190
-136.230469,665.313721,740.844727,0.008921
-137.145996,664.123535,730.865479,0.009680
-137.054443,662.841797,728.668213,0.010424
-135.406494,643.341064,725.006104,0.011009
-133.026123,652.770996,727.661133,0.011750
-132.843018,661.560059,735.443115,0.012490
-135.681152,662.841797,728.393555,0.013231
-131.652832,658.264160,730.865479,0.013972
-129.730225,660.186768,733.795166,0.014713
-134.307861,650.207520,728.027344,0.015298
-134.765625,654.602051,730.224609,0.016039
-137.145996,657.440186,730.773926,0.016780
-140.441895,659.820557,727.020264,0.017405
-139.160156,659.545898,725.189209,0.018163
-147.583008,659.088135,729.949951,0.018907
-144.744873,658.447266,729.583740,0.019647
-144.927979,661.834717,731.506348,0.020401
-137.054443,658.447266,732.330322,0.021142
-139.892578,658.630371,732.696533,0.021890
-137.329102,662.384033,733.062744,0.022645
-135.223389,667.510986,733.795166,0.023425
-139.160156,659.088135,733.337402,0.024183
-140.167236,661.651611,725.921631,0.024943
-130.004883,660.095215,735.076904,0.025699
-135.040283,664.672852,727.294922,0.026473
-138.336182,665.679932,737.182617,0.027219
-127.807617,663.299561,739.288330,0.028026
-136.871338,660.095215,738.464355,0.028849
-132.110596,658.172607,735.260010,0.029615
-138.519287,661.010742,730.316162,0.030388
-134.948730,663.665771,733.428955,0.031159
-130.004883,654.602051,729.949951,0.031953
-141.082764,662.567139,730.773926,0.032716
-137.512207,656.158447,720.886230,0.033457
-134.490967,659.088135,728.302002,0.034228
-134.582520,655.700684,729.949951,0.035002
-132.019043,661.834717,728.118896,0.035766
-133.392334,662.200928,737.182617,0.036535
-135.040283,665.130615,733.337402,0.037314
-131.744385,672.821045,737.915039,0.038055
-137.603760,668.151855,732.788086,0.038797
-135.864258,657.714844,732.055664,0.039537
-143.280029,656.158447,723.449707,0.040309
