ACC_X,ACC_Y,ACC_Z,Time
-164.154053,971.923828,123.229980,0.000114
-170.013428,960.754395,123.229980,0.000885
-164.703369,965.240479,122.772217,0.001618
-168.731689,963.043213,124.328613,0.002350
-168.457031,963.867188,108.856201,0.003082
-168.548584,962.402344,110.870361,0.003842
-170.471191,964.050293,121.307373,0.004584
-172.393799,963.409424,124.237061,0.005325
-174.407959,955.993652,126.159668,0.006067
-176.239014,961.395264,125.885010,0.006819
-169.555664,964.508057,120.025635,0.007561
-175.598145,967.987061,118.103027,0.008302
-170.379639,970.550537,120.208740,0.009044
-177.062988,965.789795,123.413086,0.009795
-175.964355,962.402344,119.934082,0.010537
-178.253174,961.578369,120.849609,0.011279
-172.119141,958.831787,119.659424,0.012020
-168.182373,962.768555,125.335693,0.012772
-170.745850,961.395264,128.997803,0.013514
-167.907715,969.818115,121.398926,0.014256
-165.985107,970.916748,114.715576,0.014997
-170.654297,960.571289,123.870850,0.015748
-173.492432,960.937500,121.215820,0.016490
-169.281006,963.500977,120.666504,0.017232
-174.957275,960.205078,112.243652,0.017975
-173.126221,962.860107,119.201660,0.018735
-171.203613,966.064453,116.546631,0.019479
-168.457031,962.310791,113.983154,0.020222
-167.266846,963.500977,119.750977,0.020964
-173.675537,959.289551,118.652344,0.021724
-172.210693,961.212158,123.962402,0.022467
-170.562744,964.782715,116.455078,0.023212
-168.731689,973.388672,126.800537,0.023977
-178.710938,973.937988,116.363525,0.024789
-168.640137,965.240479,123.321533,0.025560
-173.400879,981.903076,118.835449,0.026333
-173.400879,962.493896,115.356445,0.027144
-179.534912,975.769043,118.103027,0.027944
-175.323486,972.015381,122.497559,0.028783
-180.541992,968.170166,125.701904,0.029559
-171.478271,981.079102,125.427246,0.030337
-170.013428,979.248047,129.913330,0.031144
-170.471191,976.226807,130.737305,0.031912
-167.724609,974.945068,128.265381,0.032686
-165.435791,973.022461,130.554199,0.033460
-167.266846,970.367432,135.681152,0.034229
-165.527344,980.987549,132.751465,0.035010
-171.020508,978.515625,126.434326,0.035794
-174.041748,964.233398,129.455566,0.036579
-183.380127,967.346191,119.659424,0.037382
-167.449951,972.290039,119.110107,0.038182
-165.618896,962.036133,113.433838,0.038964
-165.893555,964.416504,119.750977,0.039726
-171.478271,960.754395,126.342773,0.040474
-171.661377,958.282471,114.257812,0.041253
-174.133301,957.550049,138.519287,0.041994
-175.598145,954.071045,118.560791,0.042734
-171.478271,956.176758,115.997314,0.043475
-167.816162,952.972412,116.638184,0.044224
-170.654297,949.218750,108.215332,0.044965
-169.006348,948.394775,113.342285,0.045704
-169.921875,941.894531,105.743408,0.046444
-166.717529,950.866699,111.877441,0.047195
-169.921875,947.479248,112.609863,0.047972
-165.893555,948.120117,114.349365,0.048722
-170.196533,954.071045,119.293213,0.049463
-168.731689,949.493408,116.271973,0.050227
-171.386719,946.380615,109.039307,0.050968
-171.752930,942.169189,105.560303,0.051707
-169.464111,952.056885,110.412598,0.052447
-173.034668,946.929932,109.588623,0.053198
-171.752930,954.345703,111.968994,0.053938
-169.647217,957.550049,94.299316,0.054678
-170.562744,951.599121,112.152100,0.055418
