ACC_X,ACC_Y,ACC_Z,Time
-132.385254,794.769287,540.710449,0.000143
-137.054443,797.058105,540.161133,0.000898
-130.828857,801.635742,547.760010,0.001640
-135.955811,810.058594,549.133301,0.002383
-130.096436,807.403564,547.027588,0.003125
-134.765625,808.044434,544.189453,0.003866
-134.216309,805.480957,539.611816,0.004608
-130.371094,802.917480,544.372559,0.005350
-130.096436,814.270020,558.929443,0.006091
-131.927490,814.178467,550.689697,0.006832
-132.385254,814.086914,548.400879,0.007573
-128.631592,811.431885,547.302246,0.008315
-130.371094,815.277100,558.746338,0.009056
-131.652832,816.741943,560.760498,0.009797
-127.532959,817.016602,559.112549,0.010538
-130.004883,826.446533,562.774658,0.011281
-129.455566,818.023682,566.619873,0.012025
-129.730225,825.256348,565.246582,0.012767
-129.821777,824.981689,565.887451,0.013509
-131.469727,826.629639,561.309814,0.014251
-131.286621,820.404053,539.428711,0.014992
-132.110596,821.868896,558.197021,0.015733
-135.955811,815.551758,561.584473,0.016474
-130.828857,824.066162,563.232422,0.017238
-128.356934,828.002930,558.288574,0.017980
-127.075195,826.904297,566.162109,0.018722
-133.392334,818.481445,557.739258,0.019463
-131.835938,820.220947,552.886963,0.020204
-125.518799,821.319580,553.070068,0.020948
-135.772705,820.587158,547.760010,0.021691
-134.216309,828.186035,554.534912,0.022432
-136.047363,820.037842,551.605225,0.023169
-128.356934,823.699951,562.408447,0.023900
-126.800537,822.418213,556.732178,0.024632
-125.610352,820.587158,555.633545,0.025363
-133.117676,824.890137,554.718018,0.026100
-129.364014,815.826416,553.344727,0.026842
-133.666992,815.551758,556.732178,0.027582
-128.997803,815.185547,555.267334,0.028322
-126.800537,818.389893,550.964355,0.029060
-133.117676,817.108154,545.471191,0.029798
-126.251221,815.002441,547.485352,0.030559
-132.110596,815.734863,555.999756,0.031301
-118.103027,816.375732,553.894043,0.032057
-123.596191,813.812256,554.168701,0.032799
-124.877930,816.192627,547.668457,0.033539
-118.743896,810.974121,551.696777,0.034279
-124.603271,817.199707,551.055908,0.035025
-124.145508,815.917969,559.204102,0.035765
-123.870850,819.030762,559.478760,0.036505
-122.039795,815.551758,559.020996,0.037245
-125.244141,814.361572,554.534912,0.037996
-129.547119,812.622070,557.647705,0.038736
-125.793457,806.854248,551.147461,0.039476
-130.096436,814.270020,554.534912,0.040215
-128.448486,809.509277,556.823730,0.040968
-116.455078,812.988281,553.802490,0.041708
-120.574951,812.072754,550.964355,0.042447
-126.800537,799.530029,545.745850,0.043187
-117.736816,805.114746,549.957275,0.043937
-113.525391,799.163818,554.901123,0.044677
-112.060547,809.051514,554.260254,0.045417
-111.236572,812.988281,554.534912,0.046156
-117.187500,803.466797,548.492432,0.046906
-116.821289,816.101074,551.971436,0.047646
-120.666504,811.706543,550.964355,0.048386
-110.412598,817.199707,553.436279,0.049125
-107.025146,818.389893,554.534912,0.049878
-111.419678,805.389404,549.133301,0.050618
-115.905762,806.396484,555.908203,0.051358
-115.905762,819.671631,561.035156,0.052098
-115.905762,817.840576,562.591553,0.052855
-111.236572,816.467285,555.908203,0.053596
-106.933594,817.932129,564.605713,0.054338
-104.095459,816.558838,559.661865,0.055077
-108.398438,821.044922,562.225342,0.055827
-107.116699,817.382812,562.225342,0.056568
-106.384277,819.305420,562.225342,0.057309
-112.060547,823.516846,555.175781,0.058049
-105.834961,817.840576,561.492920,0.058799
-108.764648,822.418213,564.880371,0.059537
-109.039307,825.988770,576.507568,0.060275
-109.954834,821.044922,565.338135,0.061012
-107.025146,822.784424,570.556641,0.061820
-112.060547,820.678711,564.239502,0.062606
-109.863281,823.974609,569.274902,0.063376
-116.363525,819.946289,564.880371,0.064139
-109.130859,819.946289,561.584473,0.064901
-131.103516,830.108643,574.676514,0.065659
-118.011475,821.319580,567.810059,0.066416
-109.954834,826.538086,565.429688,0.067180
-107.666016,825.256348,570.098877,0.067945
-107.574463,822.418213,567.901611,0.068708
-102.996826,826.538086,553.070068,0.069468
-105.468750,822.326660,552.886963,0.070250
-101.715088,822.875977,561.126709,0.071126
-103.637695,823.242188,557.373047,0.071880
-105.560303,826.812744,553.161621,0.072630
-104.370117,824.340820,557.189941,0.073428
-108.489990,818.847656,555.999756,0.074236
-103.363037,817.749023,555.999756,0.074993
-102.081299,813.262939,559.387207,0.075736
-109.680176,813.812256,557.098389,0.076512
-114.807129,814.727783,556.091309,0.077330
-111.328125,813.629150,551.788330,0.078133
-105.651855,811.248779,548.492432,0.078927
-104.461670,811.523438,551.971436,0.079680
-109.405518,812.713623,549.499512,0.080457
-108.856201,809.692383,544.830322,0.081203
-108.856201,813.995361,550.415039,0.081943
-116.546631,805.297852,538.787842,0.082683
-119.110107,806.304932,546.569824,0.083435
-121.398926,818.939209,546.661377,0.084175
-118.927002,808.959961,552.978516,0.084918
-120.941162,809.234619,552.337646,0.085668
-117.370605,810.699463,559.478760,0.086452
-123.413086,821.228027,559.295654,0.087240
-126.342773,819.396973,557.189941,0.088006
-127.716064,820.312500,584.747314,0.088829
-127.532959,815.460205,568.359375,0.089593
-125.976562,815.093994,559.112549,0.090378
-127.166748,816.101074,560.028076,0.091165
-126.068115,820.953369,553.527832,0.091909
-130.004883,810.150146,553.619385,0.092651
-125.335693,814.178467,558.563232,0.093393
-130.554199,813.720703,551.879883,0.094137
-125.885010,822.967529,555.084229,0.094996
-128.356934,813.812256,554.351807,0.095871
-128.631592,817.932129,557.647705,0.096638
-135.131836,843.109131,564.239502,0.097437
-133.850098,823.425293,565.887451,0.098225
-132.385254,832.397461,567.810059,0.099003
-132.843018,836.517334,565.063477,0.099764
-130.645752,824.066162,563.049316,0.100632
-130.920410,825.988770,566.436768,0.101446
-134.307861,826.263428,564.331055,0.102255
-128.082275,831.573486,568.725586,0.103041
-127.258301,829.376221,561.492920,0.103805
-129.364014,831.573486,561.492920,0.104559
-131.927490,826.812744,562.774658,0.105327
-125.976562,822.875977,555.908203,0.106068
-120.574951,827.453613,561.584473,0.106800
-121.032715,832.305908,549.407959,0.107532
-126.617432,826.080322,582.458496,0.108285
-123.229980,819.305420,562.866211,0.109018
-126.617432,822.143555,561.218262,0.109750
-126.525879,832.305908,564.147949,0.110481
-132.843018,828.002930,567.535400,0.111144
-129.455566,831.298828,564.239502,0.111877
-124.237061,831.024170,563.690186,0.112622
