ACC_X,ACC_Y,ACC_Z,Time
-339.111328,895.202637,209.472656,0.000153
-350.646973,891.265869,213.409424,0.000936
-344.146729,882.110596,206.176758,0.001678
-336.730957,887.969971,201.965332,0.002411
-333.068848,888.153076,199.676514,0.003190
-336.914062,889.526367,199.676514,0.003936
-334.442139,883.850098,198.944092,0.004690
-333.435059,883.941650,202.972412,0.005473
-333.343506,878.265381,197.570801,0.006286
-333.068848,868.469238,195.922852,0.007043
-341.583252,868.743896,195.739746,0.007788
-335.815430,874.145508,206.451416,0.008571
-336.181641,884.674072,210.845947,0.009318
-343.597412,874.511719,204.528809,0.010131
-339.752197,876.251221,206.359863,0.010934
-337.554932,872.955322,206.817627,0.011699
-339.019775,870.117188,197.479248,0.012534
-340.759277,877.990723,200.225830,0.013366
-344.970703,868.011475,198.577881,0.014189
-338.195801,874.786377,203.247070,0.014985
-346.160889,868.652344,197.479248,0.015806
-339.111328,870.025635,198.486328,0.016593
-335.723877,874.053955,198.577881,0.017359
-345.794678,866.638184,198.303223,0.018128
-340.026855,864.349365,201.141357,0.018927
-334.259033,865.539551,200.042725,0.019697
-336.181641,859.588623,200.408936,0.020490
-335.174561,859.680176,192.352295,0.021292
-333.435059,859.588623,194.549561,0.022152
-335.449219,857.391357,208.282471,0.022961
-333.618164,851.989746,198.944092,0.023842
-334.259033,851.806641,202.514648,0.024634
-338.836670,851.715088,188.873291,0.025417
-327.209473,847.045898,192.901611,0.026239
-339.935303,849.151611,191.253662,0.027039
-326.751709,844.116211,192.718506,0.027754
-322.357178,849.334717,193.634033,0.028581
-324.737549,839.904785,196.838379,0.029354
-327.850342,840.911865,193.817139,0.030113
-318.969727,834.686279,201.965332,0.030884
-315.673828,843.383789,201.965332,0.031668
-317.321777,837.799072,190.704346,0.032436
-319.244385,830.200195,191.711426,0.033201
-323.455811,830.383301,198.486328,0.033989
-315.856934,828.826904,195.556641,0.034797
-312.377930,834.045410,199.493408,0.035553
-309.356689,839.996338,201.965332,0.036304
-306.060791,833.953857,209.564209,0.037066
-313.659668,835.876465,204.254150,0.037845
-312.744141,831.756592,199.584961,0.038596
-309.997559,835.784912,204.895020,0.039342
-312.194824,830.291748,202.606201,0.040093
-302.490234,831.024170,201.232910,0.040885
-305.694580,819.671631,192.901611,0.041649
-304.321289,824.523926,199.493408,0.042396
-299.926758,823.425293,201.049805,0.043137
-298.461914,824.523926,200.408936,0.043877
-299.377441,819.122314,201.141357,0.044618
-293.518066,816.467285,202.056885,0.045359
-294.433594,816.467285,212.768555,0.046099
-290.954590,820.861816,213.317871,0.046839
-286.376953,817.749023,205.993652,0.047579
-282.531738,810.791016,206.085205,0.048319
-285.736084,821.044922,204.162598,0.049059
-263.671875,813.995361,200.683594,0.049799
-269.714355,809.509277,205.993652,0.050542
-277.130127,816.375732,200.225830,0.051301
-271.911621,811.981201,199.401855,0.052054
-271.820068,817.749023,208.740234,0.052803
-272.094727,824.707031,204.071045,0.053544
-271.636963,828.643799,209.564209,0.054284
-276.214600,826.721191,203.613281,0.055025
-283.538818,826.354980,205.993652,0.055765
-275.482178,824.707031,212.493896,0.056504
-274.383545,832.672119,206.451416,0.057244
-268.341064,836.700439,216.430664,0.057997
-268.341064,835.235596,215.148926,0.058740
-262.939453,834.136963,211.120605,0.059479
-261.383057,825.622559,188.415527,0.060219
-254.791260,830.932617,205.810547,0.060960
-249.938965,833.404541,211.944580,0.061699
-255.157471,830.841064,212.036133,0.062439
-248.931885,826.904297,210.845947,0.063179
-253.967285,832.122803,209.381104,0.063916
