ACC_X,ACC_Y,ACC_Z,Time
-567.535400,166.076660,813.720703,0.000135
-563.690186,160.675049,816.192627,0.000888
-559.936523,162.597656,819.488525,0.001630
-551.879883,165.893555,814.819336,0.002372
-542.175293,168.548584,814.270020,0.003113
-547.210693,177.703857,819.122314,0.003854
-544.189453,173.309326,813.171387,0.004611
-543.090820,170.196533,807.037354,0.005352
-560.943604,175.140381,813.995361,0.006092
-541.442871,183.929443,813.446045,0.006833
-538.330078,176.788330,819.946289,0.007572
-539.611816,177.795410,813.537598,0.008303
-530.731201,181.365967,817.657471,0.009034
-535.858154,171.752930,814.636230,0.009765
-526.977539,171.295166,806.762695,0.010496
-529.632568,175.506592,814.178467,0.011237
-526.611328,165.618896,812.530518,0.011978
-522.216797,170.104980,814.636230,0.012719
-519.927979,173.583984,814.178467,0.013460
-529.266357,178.344727,815.093994,0.014200
-517.181396,175.689697,811.431885,0.014940
-520.019531,167.083740,817.199707,0.015680
-518.371582,166.076660,814.086914,0.016431
-516.540527,167.541504,818.115234,0.017171
-514.434814,167.907715,813.720703,0.017912
-516.540527,167.358398,814.544678,0.018652
-522.308350,162.689209,819.763184,0.019400
-523.223877,158.660889,811.798096,0.020132
-520.202637,160.949707,816.375732,0.020863
-523.132324,157.379150,807.952881,0.021594
-526.428223,152.343750,807.586670,0.022340
-519.287109,154.907227,814.544678,0.023083
-523.590088,150.787354,809.051514,0.023823
-524.414062,149.505615,805.664062,0.024564
-529.266357,149.322510,804.107666,0.025304
-531.646729,140.716553,808.227539,0.026045
-535.400391,143.096924,805.572510,0.026795
-539.154053,133.941650,805.206299,0.027566
-534.118652,139.892578,796.325684,0.028310
-531.738281,133.026123,795.867920,0.029051
-538.970947,134.033203,793.579102,0.029791
-535.491943,134.033203,799.621582,0.030531
-539.062500,124.053955,784.423828,0.031283
-546.844482,131.744385,797.882080,0.032023
-541.534424,127.807617,793.395996,0.032764
-543.823242,122.497559,791.931152,0.033504
-541.717529,121.856689,792.480469,0.034247
-545.654297,118.652344,795.776367,0.034977
-545.288086,110.595703,792.205811,0.035734
-554.992676,113.433838,796.875000,0.036475
-550.231934,123.870850,794.769287,0.037215
-554.626465,94.665527,792.022705,0.037955
-552.612305,117.553711,787.628174,0.038695
-551.605225,118.560791,798.706055,0.039435
-550.506592,119.842529,796.783447,0.040178
-552.886963,115.997314,800.170898,0.040920
-560.852051,114.440918,789.733887,0.041660
-552.520752,119.201660,797.607422,0.042401
-561.309814,114.624023,797.241211,0.043152
-559.844971,119.659424,796.325684,0.043893
-557.556152,117.736816,792.938232,0.044633
-563.415527,113.250732,791.381836,0.045374
-563.140869,113.342285,789.367676,0.046114
-559.387207,115.356445,793.395996,0.046845
-555.358887,120.666504,793.487549,0.047575
-544.647217,121.948242,796.234131,0.048306
-550.781250,121.032715,794.586182,0.049058
-548.858643,123.687744,779.296875,0.049798
-552.520752,123.138428,792.114258,0.050539
-553.710938,122.497559,793.395996,0.051279
-548.950195,132.476807,797.149658,0.052028
-546.203613,135.040283,793.853760,0.052768
-544.006348,127.166748,795.776367,0.053508
-548.034668,133.209229,792.663574,0.054249
-544.189453,136.962891,802.825928,0.054998
-545.654297,136.596680,798.248291,0.055738
-543.182373,148.132324,798.248291,0.056479
-540.252686,122.772217,798.431396,0.057219
-542.449951,141.998291,802.551270,0.057961
-517.913818,151.885986,798.248291,0.058692
-537.689209,156.829834,800.903320,0.059422
-533.843994,158.843994,813.903809,0.060153
-537.689209,154.541016,810.607910,0.060891
-530.456543,153.167725,803.924561,0.061631
-522.766113,162.322998,806.213379,0.062372
-522.308350,170.288086,812.988281,0.063112
-520.019531,163.055420,808.410645,0.063883
-517.364502,175.048828,812.896729,0.064624
-518.188477,173.400879,812.164307,0.065364
-512.878418,166.351318,817.657471,0.066105
-514.251709,168.182373,809.509277,0.066851
-512.878418,164.062500,810.516357,0.067592
-520.935059,163.604736,808.959961,0.068332
