ACC_Z,Time
-28.01513671875,2.2103822231292725
-28.01513671875,2.2105844020843506
-28.01513671875,2.2107834815979004
-24.627685546875,2.21098256111145
-24.810791015625,2.211765766143799
-24.810791015625,2.211965560913086
-25.81787109375,2.2121663093566895
-25.81787109375,2.21236515045166
-25.81787109375,2.212564468383789
-25.726318359375,2.213350534439087
-25.726318359375,2.2135531902313232
-25.726318359375,2.2137532234191895
-30.21240234375,2.2139525413513184
-30.21240234375,2.2141518592834473
-34.24072265625,2.214947462081909
-34.24072265625,2.2151458263397217
-26.458740234375,2.2153449058532715
-26.458740234375,2.2155423164367676
-26.458740234375,2.215740203857422
-30.303955078125,2.2165896892547607
-30.303955078125,2.216794967651367
-30.303955078125,2.2170028686523438
-30.21240234375,2.217207431793213
-30.21240234375,2.217411518096924
-31.1279296875,2.218207359313965
-34.60693359375,2.218414306640625
-34.60693359375,2.2186191082000732
-34.60693359375,2.2188234329223633
-36.712646484375,2.2190282344818115
-34.698486328125,2.2198293209075928
-34.698486328125,2.220038414001465
-32.501220703125,2.220242977142334
-32.501220703125,2.220447063446045
-32.501220703125,2.220651149749756
-27.64892578125,2.2214462757110596
-27.64892578125,2.221651077270508
-27.64892578125,2.2218587398529053
-26.18408203125,2.2220633029937744
-26.18408203125,2.2222676277160645
-36.43798828125,2.223074197769165
-31.402587890625,2.2232789993286133
-31.402587890625,2.223484516143799
-31.402587890625,2.2236897945404053
-36.2548828125,2.2238941192626953
-30.029296875,2.2246904373168945
-30.029296875,2.224895715713501
-29.296875,2.2251033782958984
-29.296875,2.2253081798553467
-29.296875,2.2255125045776367
-45.41015625,2.2263081073760986
-25.08544921875,2.226513385772705
-25.08544921875,2.2267165184020996
-25.08544921875,2.2269186973571777
-33.966064453125,2.227120876312256
-29.11376953125,2.2279114723205566
-29.11376953125,2.228116989135742
-33.14208984375,2.228320360183716
-33.14208984375,2.228523015975952
-33.14208984375,2.2287256717681885
-28.74755859375,2.2295289039611816
-28.74755859375,2.2297322750091553
-28.74755859375,2.22993803024292
-19.59228515625,2.2301406860351562
-19.59228515625,2.230342149734497
-24.169921875,2.23113751411438
-26.55029296875,2.2313404083251953
-26.55029296875,2.2315402030944824
-26.55029296875,2.2317395210266113
-32.958984375,2.231938600540161
-28.106689453125,2.2327334880828857
-28.106689453125,2.232933759689331
-26.91650390625,2.2331347465515137
-26.91650390625,2.2333340644836426
-26.91650390625,2.2335333824157715
-29.11376953125,2.2343242168426514
-25.2685546875,2.2345244884490967
-25.2685546875,2.234726667404175
-25.2685546875,2.2349259853363037
-25.81787109375,2.2351253032684326
-28.01513671875,2.235915184020996
-28.01513671875,2.236114978790283
-28.839111328125,2.2363171577453613
-28.839111328125,2.2365167140960693
-28.839111328125,2.236715793609619
-25.543212890625,2.2375030517578125
-25.543212890625,2.2377030849456787
-25.543212890625,2.2379040718078613
-34.0576171875,2.2381033897399902
-34.0576171875,2.238302707672119
-35.430908203125,2.239089012145996
-11.993408203125,2.239290237426758
-18.12744140625,2.2394893169403076
-18.12744140625,2.2396886348724365
-41.56494140625,2.2398879528045654
-22.247314453125,2.240673780441284
-22.247314453125,2.240875244140625
-22.247314453125,2.241075038909912
-25.45166015625,2.241273880004883
-25.45166015625,2.2414731979370117
-35.064697265625,2.242257595062256
-34.881591796875,2.2424569129943848
-34.881591796875,2.242656946182251
-34.881591796875,2.2428548336029053
-32.2265625,2.2430524826049805
-33.14208984375,2.2438347339630127
-33.14208984375,2.244032859802246
-33.14208984375,2.2442333698272705
-28.9306640625,2.2444310188293457
-28.9306640625,2.2446281909942627
-33.3251953125,2.245412588119507
-34.97314453125,2.2456116676330566
-34.97314453125,2.245811939239502
-34.97314453125,2.246009349822998
-30.670166015625,2.246206760406494
-28.01513671875,2.247007369995117
-28.01513671875,2.2472074031829834
-26.092529296875,2.2474076747894287
-26.092529296875,2.2476065158843994
-26.092529296875,2.24780535697937
-27.740478515625,2.2485949993133545
-31.768798828125,2.2487940788269043
-31.768798828125,2.2489962577819824
-31.768798828125,2.249194860458374
-33.3251953125,2.2493937015533447
-33.599853515625,2.2501790523529053
-33.599853515625,2.250382661819458
-30.303955078125,2.2505815029144287
-30.303955078125,2.2507803440093994
-30.303955078125,2.250978708267212
-30.21240234375,2.2517642974853516
-30.21240234375,2.251965045928955
-30.21240234375,2.2521636486053467
-28.38134765625,2.2523622512817383
-28.38134765625,2.252560615539551
-23.712158203125,2.2533464431762695
-23.345947265625,2.253549337387085
-23.345947265625,2.253748655319214
-23.345947265625,2.2539477348327637
-46.783447265625,2.2541463375091553
-33.782958984375,2.254946231842041
-33.782958984375,2.2551467418670654
-33.782958984375,2.255345344543457
-24.627685546875,2.2555434703826904
-24.627685546875,2.255742073059082
-32.77587890625,2.2565269470214844
-22.796630859375,2.2567269802093506
-22.796630859375,2.2569286823272705
-22.796630859375,2.257127046585083
-31.31103515625,2.2573254108428955
-28.106689453125,2.2581093311309814
-28.106689453125,2.2583091259002686
-28.9306640625,2.2585108280181885
-28.9306640625,2.258709669113159
-28.9306640625,2.258908271789551
-18.402099609375,2.2596919536590576
-19.95849609375,2.2598938941955566
-19.95849609375,2.2600924968719482
-43.39599609375,2.2602908611297607
-25.177001953125,2.260488986968994
-24.993896484375,2.2612733840942383
-24.993896484375,2.2614731788635254
-23.0712890625,2.2616732120513916
-23.0712890625,2.261871337890625
-23.0712890625,2.2620701789855957
-20.8740234375,2.262866258621216
-20.8740234375,2.2630655765533447
-20.8740234375,2.263265371322632
-20.5078125,2.2634637355804443
-20.5078125,2.263662099838257
-30.853271484375,2.264446973800659
-30.853271484375,2.264646530151367
-29.937744140625,2.264847755432129
-29.937744140625,2.2650468349456787
-29.937744140625,2.265245199203491
-27.64892578125,2.2660319805145264
-27.64892578125,2.26623272895813
-27.64892578125,2.266432046890259
-27.4658203125,2.266629695892334
-27.4658203125,2.2668278217315674
-21.97265625,2.2676146030426025
-31.1279296875,2.2678163051605225
-31.1279296875,2.268014669418335
-31.1279296875,2.2682130336761475
-28.9306640625,2.268411159515381
-26.7333984375,2.269219398498535
-26.7333984375,2.269425392150879
-26.7333984375,2.26962947845459
-31.1279296875,2.269833564758301
-31.1279296875,2.2700371742248535
-2.38037109375,2.2708535194396973
-20.5078125,2.271061897277832
-20.5078125,2.271266222000122
-20.5078125,2.271470308303833
-22.064208984375,2.271674394607544
-27.64892578125,2.272469997406006
-27.64892578125,2.272676944732666
-28.656005859375,2.272880792617798
-28.656005859375,2.2730844020843506
-28.656005859375,2.2732887268066406
-26.092529296875,2.2740871906280518
-26.092529296875,2.2743165493011475
-2.655029296875,2.274526834487915
-21.42333984375,2.2747256755828857
-21.42333984375,2.2749252319335938
-26.18408203125,2.275754928588867
-31.402587890625,2.2759573459625244
-31.402587890625,2.276156187057495
-31.402587890625,2.2763547897338867
-21.97265625,2.276553153991699
-16.571044921875,2.2773497104644775
-16.571044921875,2.2775490283966064
-25.543212890625,2.2777504920959473
-25.543212890625,2.277949810028076
-25.543212890625,2.278148889541626
-27.374267578125,2.2789549827575684
-27.374267578125,2.279157876968384
-27.374267578125,2.2793564796447754
-23.712158203125,2.279555082321167
-23.712158203125,2.2797532081604004
-23.98681640625,2.28055477142334
-0.54931640625,2.280754566192627
-23.345947265625,2.2809560298919678
-23.345947265625,2.2811551094055176
-46.783447265625,2.28135347366333
-28.106689453125,2.2821428775787354
-28.106689453125,2.2823455333709717
-28.106689453125,2.2825441360473633
-34.515380859375,2.282742500305176
-34.515380859375,2.2829413414001465
-30.21240234375,2.2837295532226562
-33.14208984375,2.2839314937591553
-33.14208984375,2.284130573272705
-33.14208984375,2.284329652786255
-38.543701171875,2.2845282554626465
-35.430908203125,2.2853140830993652
-35.430908203125,2.2855169773101807
-22.15576171875,2.2857160568237305
-22.15576171875,2.285914421081543
-22.15576171875,2.2861127853393555
-26.458740234375,2.2869157791137695
-26.55029296875,2.2871174812316895
-26.55029296875,2.287315845489502
-26.55029296875,2.2875144481658936
-27.4658203125,2.2877120971679688
-21.6064453125,2.2885026931762695
-21.6064453125,2.2887117862701416
-29.937744140625,2.288912296295166
-29.937744140625,2.2891104221343994
-29.937744140625,2.289308547973633
-27.008056640625,2.290160655975342
-27.008056640625,2.2903647422790527
-27.008056640625,2.2905633449554443
-25.08544921875,2.290762424468994
-25.08544921875,2.2909605503082275
-26.824951171875,2.2917823791503906
-27.374267578125,2.291984796524048
-27.374267578125,2.2921836376190186
-27.374267578125,2.292382001876831
-27.83203125,2.2925806045532227
-30.57861328125,2.2933871746063232
-30.57861328125,2.2935893535614014
-29.937744140625,2.293788433074951
-29.937744140625,2.2939867973327637
-29.937744140625,2.2941856384277344
-30.21240234375,2.294989585876465
-27.740478515625,2.2951903343200684
-27.740478515625,2.295388698577881
-27.740478515625,2.2955870628356934
-27.191162109375,2.2957851886749268
-29.6630859375,2.2965779304504395
-29.6630859375,2.2967801094055176
-28.01513671875,2.2969789505004883
-28.01513671875,2.297177791595459
-28.01513671875,2.2973761558532715
-29.205322265625,2.2981631755828857
-29.205322265625,2.298365592956543
-29.205322265625,2.2985641956329346
-27.008056640625,2.298762559890747
-27.008056640625,2.2989606857299805
-26.55029296875,2.2997488975524902
-28.289794921875,2.29995059967041
-28.289794921875,2.300150156021118
-28.289794921875,2.3003482818603516
-28.289794921875,2.300546407699585
-27.099609375,2.301331043243408
-27.099609375,2.301532030105591
-27.099609375,2.3017303943634033
-31.036376953125,2.301928758621216
-31.036376953125,2.3021271228790283
-31.67724609375,2.302931308746338
-29.296875,2.303133010864258
-29.296875,2.3033323287963867
-29.296875,2.3035314083099365
-24.169921875,2.303729772567749
-20.599365234375,2.304518222808838
-20.599365234375,2.304720878601074
-27.557373046875,2.304919481277466
-27.557373046875,2.3051178455352783
-27.557373046875,2.305316686630249
-36.712646484375,2.3061044216156006
-37.445068359375,2.3063037395477295
-37.445068359375,2.306504964828491
-37.445068359375,2.3067033290863037
-36.712646484375,2.3069019317626953
-33.50830078125,2.3076868057250977
-33.50830078125,2.3078885078430176
-26.7333984375,2.308087110519409
-26.7333984375,2.3082849979400635
-26.7333984375,2.308483600616455
-24.71923828125,2.309267282485962
-24.71923828125,2.309469699859619
-24.71923828125,2.309669017791748
-18.85986328125,2.3098676204681396
-18.85986328125,2.310065984725952
-27.4658203125,2.310964822769165
-28.74755859375,2.311166524887085
-28.74755859375,2.311363935470581
-28.74755859375,2.311561107635498
-24.90234375,2.311757802963257
-18.585205078125,2.3125834465026855
-18.585205078125,2.312784194946289
-21.05712890625,2.312981605529785
-21.05712890625,2.313178539276123
-21.05712890625,2.313375234603882
-22.705078125,2.3141798973083496
-22.52197265625,2.314378023147583
-22.52197265625,2.31457781791687
-45.95947265625,2.3147754669189453
-25.543212890625,2.314972162246704
-23.162841796875,2.3157711029052734
-23.162841796875,2.3159689903259277
-23.345947265625,2.3161678314208984
-23.345947265625,2.316364049911499
-23.345947265625,2.3165600299835205
-28.38134765625,2.3173811435699463
-28.38134765625,2.317584753036499
-28.38134765625,2.3177859783172607
-34.515380859375,2.3179874420166016
-34.515380859375,2.318188190460205
-27.008056640625,2.3190298080444336
-32.501220703125,2.3192384243011475
-32.501220703125,2.3194403648376465
-32.501220703125,2.3196418285369873
-33.966064453125,2.319843292236328
-33.416748046875,2.3206543922424316
-33.416748046875,2.3208584785461426
-32.684326171875,2.3210608959198
-32.684326171875,2.321262836456299
-32.684326171875,2.32149600982666
-33.3251953125,2.3223307132720947
-33.3251953125,2.3225326538085938
-33.3251953125,2.32273006439209
-28.9306640625,2.3229267597198486
-28.9306640625,2.3231239318847656
-39.73388671875,2.32393217086792
-29.571533203125,2.3241333961486816
-29.571533203125,2.3243308067321777
-29.571533203125,2.324528694152832
-28.1982421875,2.3247270584106445
-26.0009765625,2.325531005859375
-26.0009765625,2.3257317543029785
-26.0009765625,2.3259286880493164
-25.08544921875,2.3261258602142334
-25.08544921875,2.326324462890625
-46.142578125,2.327118158340454
-28.472900390625,2.3273165225982666
-28.472900390625,2.327515125274658
