ACC_X,ACC_Y,ACC_Z
878.400024,417.727997,261.567993
886.208008,421.631989,265.471985
884.255981,419.679993,263.519989
880.351990,419.679993,271.328003
882.304016,427.488007,263.519989
888.159973,415.776001,257.664001
892.064026,425.536011,263.519989
886.208008,421.631989,261.567993
884.255981,421.631989,263.519989
878.400024,413.824005,267.424011
888.159973,427.488007,263.519989
894.015991,425.536011,259.615997
886.208008,421.631989,257.664001
888.159973,419.679993,263.519989
895.968018,433.343994,253.759995
901.823975,423.584015,255.712006
894.015991,425.536011,263.519989
897.919983,429.440002,259.615997
899.872009,425.536011,265.471985
897.919983,427.488007,273.279999
901.823975,435.295990,271.328003
905.728027,433.343994,269.376007
903.776001,435.295990,271.328003
903.776001,431.391998,265.471985
911.583984,435.295990,265.471985
907.679993,443.104004,267.424011
907.679993,437.247986,267.424011
905.728027,441.152008,275.231995
905.728027,437.247986,265.471985
909.632019,433.343994,271.328003
905.728027,437.247986,261.567993
905.728027,437.247986,265.471985
901.823975,435.295990,261.567993
911.583984,443.104004,273.279999
909.632019,441.152008,265.471985
913.536011,443.104004,271.328003
911.583984,447.007996,271.328003
915.487976,441.152008,265.471985
911.583984,443.104004,273.279999
911.583984,443.104004,265.471985
915.487976,441.152008,265.471985
901.823975,443.104004,261.567993
907.679993,454.816010,263.519989
907.679993,448.959991,257.664001
915.487976,441.152008,265.471985
913.536011,447.007996,263.519989
909.632019,454.816010,267.424011
915.487976,445.056000,259.615997
915.487976,445.056000,259.615997
915.487976,441.152008,267.424011
905.728027,443.104004,265.471985
905.728027,447.007996,267.424011
909.632019,445.056000,261.567993
915.487976,441.152008,253.759995
913.536011,439.200012,269.376007
919.392029,441.152008,261.567993
909.632019,452.864014,265.471985
909.632019,443.104004,267.424011
915.487976,437.247986,267.424011
925.247986,441.152008,263.519989
921.343994,439.200012,273.279999
917.440002,441.152008,265.471985
921.343994,448.959991,267.424011
917.440002,447.007996,265.471985
919.392029,445.056000,259.615997
921.343994,441.152008,265.471985
915.487976,441.152008,265.471985
917.440002,447.007996,279.135986
917.440002,443.104004,273.279999
923.296021,443.104004,277.183990
931.104004,445.056000,275.231995
931.104004,441.152008,275.231995
923.296021,443.104004,273.279999
927.200012,435.295990,283.040009
925.247986,439.200012,281.088013
931.104004,441.152008,273.279999
925.247986,441.152008,269.376007
931.104004,447.007996,275.231995
931.104004,441.152008,277.183990
931.104004,441.152008,275.231995
917.440002,445.056000,284.992004
925.247986,447.007996,281.088013
933.056030,429.440002,277.183990
929.151978,435.295990,277.183990
931.104004,441.152008,279.135986
946.719971,437.247986,275.231995
921.343994,433.343994,277.183990
935.007996,439.200012,273.279999
929.151978,439.200012,283.040009
933.056030,441.152008,286.944000
929.151978,433.343994,284.992004
925.247986,435.295990,281.088013
927.200012,433.343994,279.135986
929.151978,431.391998,275.231995
929.151978,433.343994,271.328003
931.104004,429.440002,275.231995
933.056030,429.440002,271.328003
938.911987,441.152008,271.328003
936.960022,447.007996,273.279999
938.911987,437.247986,275.231995
940.864014,435.295990,275.231995
938.911987,429.440002,286.944000
933.056030,433.343994,277.183990
940.864014,431.391998,275.231995
933.056030,433.343994,273.279999
933.056030,429.440002,283.040009
938.911987,433.343994,277.183990
933.056030,429.440002,273.279999
938.911987,433.343994,284.992004
933.056030,433.343994,284.992004
944.768005,433.343994,286.944000
933.056030,439.200012,273.279999
933.056030,427.488007,273.279999
938.911987,427.488007,273.279999
940.864014,427.488007,277.183990
940.864014,431.391998,286.944000
933.056030,435.295990,284.992004
936.960022,447.007996,279.135986
938.911987,431.391998,275.231995
946.719971,435.295990,283.040009
940.864014,425.536011,286.944000
933.056030,439.200012,283.040009
933.056030,429.440002,277.183990
940.864014,437.247986,283.040009
938.911987,433.343994,284.992004
933.056030,435.295990,279.135986
925.247986,439.200012,288.895996
935.007996,433.343994,279.135986
935.007996,439.200012,271.328003
927.200012,439.200012,277.183990
935.007996,437.247986,273.279999
925.247986,437.247986,279.135986
931.104004,448.959991,275.231995
925.247986,447.007996,269.376007
925.247986,441.152008,269.376007
927.200012,443.104004,267.424011
925.247986,439.200012,269.376007
921.343994,439.200012,273.279999
917.440002,439.200012,269.376007
925.247986,439.200012,269.376007
919.392029,439.200012,269.376007
923.296021,445.056000,273.279999
929.151978,445.056000,269.376007
927.200012,441.152008,259.615997
923.296021,452.864014,269.376007
923.296021,454.816010,271.328003
923.296021,447.007996,267.424011
923.296021,445.056000,275.231995
919.392029,458.720001,261.567993
927.200012,448.959991,267.424011
917.440002,458.720001,263.519989
907.679993,458.720001,265.471985
913.536011,464.575989,275.231995
897.919983,462.623993,265.471985
905.728027,456.768005,263.519989
915.487976,450.911987,261.567993
911.583984,462.623993,263.519989
915.487976,450.911987,265.471985
901.823975,454.816010,267.424011
907.679993,448.959991,257.664001
905.728027,454.816010,263.519989
901.823975,454.816010,267.424011
899.872009,448.959991,257.664001
901.823975,450.911987,257.664001
897.919983,454.816010,267.424011
892.064026,450.911987,249.856003
892.064026,458.720001,263.519989
882.304016,454.816010,273.279999
899.872009,454.816010,261.567993
897.919983,454.816010,269.376007
899.872009,456.768005,259.615997
899.872009,462.623993,265.471985
890.112000,464.575989,267.424011
895.968018,458.720001,271.328003
895.968018,452.864014,273.279999
888.159973,454.816010,273.279999
886.208008,447.007996,271.328003
892.064026,447.007996,275.231995
888.159973,447.007996,261.567993
884.255981,447.007996,253.759995
882.304016,443.104004,251.807999
884.255981,456.768005,244.000000
876.447998,452.864014,228.384003
878.400024,454.816010,226.432007
882.304016,470.432007,238.143997
886.208008,454.816010,242.048004
888.159973,462.623993,255.712006
882.304016,458.720001,257.664001
882.304016,460.671997,261.567993
888.159973,464.575989,277.183990
892.064026,470.432007,269.376007
888.159973,450.911987,271.328003
888.159973,464.575989,275.231995
880.351990,464.575989,257.664001
894.015991,468.480011,263.519989
884.255981,460.671997,261.567993
878.400024,474.335999,259.615997
870.591980,478.239990,261.567993
884.255981,472.384003,259.615997
882.304016,466.528015,263.519989
870.591980,472.384003,253.759995
870.591980,470.432007,253.759995
876.447998,480.191986,255.712006
884.255981,460.671997,249.856003
884.255981,474.335999,257.664001
884.255981,474.335999,255.712006
880.351990,482.144012,253.759995
874.495972,472.384003,255.712006
888.159973,478.239990,267.424011
884.255981,468.480011,269.376007
886.208008,470.432007,269.376007
882.304016,468.480011,275.231995
888.159973,470.432007,263.519989
888.159973,482.144012,265.471985
884.255981,476.287994,265.471985
888.159973,472.384003,265.471985
884.255981,470.432007,269.376007
884.255981,472.384003,271.328003
882.304016,468.480011,269.376007
882.304016,470.432007,269.376007
886.208008,462.623993,267.424011
888.159973,466.528015,275.231995
888.159973,464.575989,275.231995
882.304016,474.335999,279.135986
886.208008,482.144012,283.040009
892.064026,486.048004,277.183990
882.304016,480.191986,283.040009
894.015991,486.048004,277.183990
903.776001,491.903992,265.471985
892.064026,489.951996,269.376007
890.112000,491.903992,273.279999
897.919983,484.096008,273.279999
899.872009,489.951996,275.231995
899.872009,495.808014,271.328003
890.112000,499.712006,267.424011
897.919983,486.048004,265.471985
903.776001,488.000000,253.759995
897.919983,476.287994,267.424011
894.015991,486.048004,271.328003
899.872009,482.144012,275.231995
901.823975,484.096008,273.279999
905.728027,480.191986,281.088013
903.776001,484.096008,283.040009
903.776001,489.951996,277.183990
897.919983,489.951996,279.135986
901.823975,501.664001,284.992004
901.823975,493.855988,281.088013
897.919983,489.951996,283.040009
897.919983,497.760010,283.040009
899.872009,499.712006,284.992004
899.872009,501.664001,277.183990
895.968018,495.808014,271.328003
890.112000,493.855988,271.328003
890.112000,484.096008,271.328003
899.872009,488.000000,271.328003
895.968018,493.855988,279.135986
892.064026,480.191986,273.279999
884.255981,489.951996,275.231995
890.112000,493.855988,273.279999
880.351990,489.951996,269.376007
880.351990,480.191986,279.135986
878.400024,488.000000,275.231995
870.591980,484.096008,279.135986
874.495972,484.096008,275.231995
870.591980,484.096008,275.231995
872.544006,482.144012,286.944000
872.544006,478.239990,281.088013
878.400024,488.000000,275.231995
876.447998,489.951996,273.279999
874.495972,476.287994,279.135986
872.544006,472.384003,273.279999
872.544006,476.287994,275.231995
868.640015,470.432007,283.040009
866.687988,478.239990,283.040009
874.495972,474.335999,277.183990
868.640015,476.287994,279.135986
872.544006,472.384003,283.040009
872.544006,478.239990,286.944000
866.687988,474.335999,288.895996
866.687988,472.384003,284.992004
872.544006,478.239990,279.135986
862.783997,482.144012,281.088013
866.687988,480.191986,288.895996
866.687988,482.144012,288.895996
862.783997,474.335999,290.847992
870.591980,472.384003,277.183990
866.687988,474.335999,286.944000
870.591980,474.335999,288.895996
878.400024,476.287994,284.992004
872.544006,476.287994,290.847992
870.591980,474.335999,288.895996
878.400024,470.432007,284.992004
872.544006,472.384003,281.088013
864.736023,468.480011,281.088013
880.351990,470.432007,288.895996
878.400024,472.384003,290.847992
882.304016,470.432007,288.895996
880.351990,466.528015,286.944000
880.351990,464.575989,290.847992
886.208008,464.575989,288.895996
880.351990,468.480011,290.847992
888.159973,474.335999,286.944000
892.064026,464.575989,292.799988
882.304016,470.432007,288.895996
884.255981,476.287994,292.799988
884.255981,472.384003,300.608002
890.112000,470.432007,296.704010
886.208008,460.671997,292.799988
894.015991,472.384003,288.895996
