ACC_X,ACC_Y,ACC_Z
538.752014,443.104004,720.288025
534.848022,435.295990,720.288025
544.607971,435.295990,718.335999
548.512024,433.343994,728.096008
542.656006,435.295990,733.952026
544.607971,429.440002,726.143982
546.559998,441.152008,728.096008
548.512024,433.343994,732.000000
556.320007,437.247986,728.096008
546.559998,433.343994,741.760010
546.559998,441.152008,735.903992
552.416016,437.247986,726.143982
550.463989,439.200012,730.047974
554.367981,443.104004,730.047974
554.367981,439.200012,739.807983
554.367981,443.104004,730.047974
552.416016,450.911987,726.143982
546.559998,445.056000,726.143982
546.559998,441.152008,728.096008
552.416016,450.911987,726.143982
546.559998,447.007996,728.096008
538.752014,439.200012,730.047974
546.559998,447.007996,722.239990
548.512024,448.959991,714.432007
548.512024,441.152008,724.192017
542.656006,447.007996,722.239990
544.607971,447.007996,728.096008
534.848022,441.152008,722.239990
548.512024,443.104004,722.239990
544.607971,441.152008,728.096008
540.703979,441.152008,728.096008
546.559998,454.816010,726.143982
540.703979,441.152008,728.096008
544.607971,452.864014,728.096008
540.703979,450.911987,732.000000
536.799988,452.864014,733.952026
536.799988,452.864014,724.192017
548.512024,462.623993,730.047974
542.656006,448.959991,728.096008
530.943970,443.104004,728.096008
540.703979,448.959991,728.096008
536.799988,454.816010,732.000000
534.848022,458.720001,732.000000
530.943970,466.528015,728.096008
530.943970,462.623993,730.047974
532.895996,456.768005,730.047974
532.895996,462.623993,743.711975
528.992004,458.720001,737.856018
530.943970,454.816010,737.856018
525.088013,462.623993,733.952026
530.943970,462.623993,732.000000
532.895996,460.671997,728.096008
538.752014,448.959991,741.760010
527.039978,458.720001,741.760010
534.848022,460.671997,741.760010
534.848022,462.623993,743.711975
534.848022,462.623993,743.711975
536.799988,460.671997,730.047974
534.848022,470.432007,739.807983
542.656006,466.528015,743.711975
540.703979,466.528015,743.711975
544.607971,468.480011,743.711975
534.848022,468.480011,735.903992
538.752014,460.671997,732.000000
538.752014,462.623993,733.952026
538.752014,470.432007,737.856018
544.607971,468.480011,745.664001
544.607971,468.480011,743.711975
544.607971,462.623993,737.856018
560.223999,464.575989,735.903992
546.559998,454.816010,733.952026
558.271973,462.623993,741.760010
554.367981,458.720001,745.664001
562.176025,450.911987,747.616028
562.176025,448.959991,745.664001
566.080017,460.671997,749.567993
564.127991,468.480011,755.424011
564.127991,448.959991,757.375977
562.176025,452.864014,749.567993
562.176025,452.864014,755.424011
569.984009,454.816010,745.664001
562.176025,452.864014,749.567993
569.984009,468.480011,755.424011
569.984009,470.432007,755.424011
566.080017,476.287994,757.375977
566.080017,470.432007,753.471985
575.840027,470.432007,763.231995
575.840027,468.480011,778.848022
571.935974,474.335999,769.088013
571.935974,466.528015,774.943970
569.984009,474.335999,778.848022
573.888000,464.575989,776.895996
